start,end,day_count
2021-12-28T00:00:00.000Z,2021-12-29T00:00:00.000Z,1853
2021-12-29T00:00:00.000Z,2021-12-30T00:00:00.000Z,1317
2021-12-30T00:00:00.000Z,2021-12-31T00:00:00.000Z,2202
2021-12-31T00:00:00.000Z,2022-01-01T00:00:00.000Z,1322
2022-01-01T00:00:00.000Z,2022-01-02T00:00:00.000Z,919
2022-01-02T00:00:00.000Z,2022-01-03T00:00:00.000Z,2126
2022-01-03T00:00:00.000Z,2022-01-04T00:00:00.000Z,1762
2022-01-04T00:00:00.000Z,2022-01-05T00:00:00.000Z,1778
2022-01-05T00:00:00.000Z,2022-01-06T00:00:00.000Z,1334
2022-01-06T00:00:00.000Z,2022-01-07T00:00:00.000Z,2738
2022-01-07T00:00:00.000Z,2022-01-08T00:00:00.000Z,2960
2022-01-08T00:00:00.000Z,2022-01-09T00:00:00.000Z,1436
2021-11-08T00:00:00.000Z,2021-11-09T00:00:00.000Z,3653
2021-11-09T00:00:00.000Z,2021-11-10T00:00:00.000Z,6315
2021-11-10T00:00:00.000Z,2021-11-11T00:00:00.000Z,4774
2021-11-11T00:00:00.000Z,2021-11-12T00:00:00.000Z,3449
2021-11-12T00:00:00.000Z,2021-11-13T00:00:00.000Z,2494
2021-11-13T00:00:00.000Z,2021-11-14T00:00:00.000Z,2689
2021-11-14T00:00:00.000Z,2021-11-15T00:00:00.000Z,2210
2021-11-15T00:00:00.000Z,2021-11-16T00:00:00.000Z,2050
2021-11-16T00:00:00.000Z,2021-11-17T00:00:00.000Z,2762
2021-11-17T00:00:00.000Z,2021-11-18T00:00:00.000Z,2380
2021-11-18T00:00:00.000Z,2021-11-19T00:00:00.000Z,2969
2021-11-19T00:00:00.000Z,2021-11-20T00:00:00.000Z,2312
2021-11-20T00:00:00.000Z,2021-11-21T00:00:00.000Z,1552
2021-11-21T00:00:00.000Z,2021-11-22T00:00:00.000Z,1973
2021-11-22T00:00:00.000Z,2021-11-23T00:00:00.000Z,2459
2021-11-23T00:00:00.000Z,2021-11-24T00:00:00.000Z,2265
2021-11-24T00:00:00.000Z,2021-11-25T00:00:00.000Z,1431
2021-11-25T00:00:00.000Z,2021-11-26T00:00:00.000Z,1716
2021-11-26T00:00:00.000Z,2021-11-27T00:00:00.000Z,2434
2021-11-27T00:00:00.000Z,2021-11-28T00:00:00.000Z,1373
2021-11-28T00:00:00.000Z,2021-11-29T00:00:00.000Z,1525
2021-11-29T00:00:00.000Z,2021-11-30T00:00:00.000Z,1515
2021-11-30T00:00:00.000Z,2021-12-01T00:00:00.000Z,1305
2021-12-01T00:00:00.000Z,2021-12-02T00:00:00.000Z,1311
2021-12-02T00:00:00.000Z,2021-12-03T00:00:00.000Z,1836
2021-12-03T00:00:00.000Z,2021-12-04T00:00:00.000Z,2064
2021-12-04T00:00:00.000Z,2021-12-05T00:00:00.000Z,2564
2021-12-05T00:00:00.000Z,2021-12-06T00:00:00.000Z,3339
2021-12-06T00:00:00.000Z,2021-12-07T00:00:00.000Z,2213
2021-12-07T00:00:00.000Z,2021-12-08T00:00:00.000Z,2937
2021-12-08T00:00:00.000Z,2021-12-09T00:00:00.000Z,2085
2021-10-08T00:00:00.000Z,2021-10-09T00:00:00.000Z,2014
2021-10-09T00:00:00.000Z,2021-10-10T00:00:00.000Z,1331
2021-10-10T00:00:00.000Z,2021-10-11T00:00:00.000Z,1903
2021-10-11T00:00:00.000Z,2021-10-12T00:00:00.000Z,2548
2021-10-12T00:00:00.000Z,2021-10-13T00:00:00.000Z,3228
2021-10-13T00:00:00.000Z,2021-10-14T00:00:00.000Z,2552
2021-10-14T00:00:00.000Z,2021-10-15T00:00:00.000Z,3485
2021-10-15T00:00:00.000Z,2021-10-16T00:00:00.000Z,2076
2021-10-16T00:00:00.000Z,2021-10-17T00:00:00.000Z,1243
2021-10-17T00:00:00.000Z,2021-10-18T00:00:00.000Z,1343
2021-10-18T00:00:00.000Z,2021-10-19T00:00:00.000Z,1290
2021-10-19T00:00:00.000Z,2021-10-20T00:00:00.000Z,1850
2021-10-20T00:00:00.000Z,2021-10-21T00:00:00.000Z,1399
2021-10-21T00:00:00.000Z,2021-10-22T00:00:00.000Z,1303
2021-10-22T00:00:00.000Z,2021-10-23T00:00:00.000Z,1446
2021-10-23T00:00:00.000Z,2021-10-24T00:00:00.000Z,1261
2021-10-24T00:00:00.000Z,2021-10-25T00:00:00.000Z,1964
2021-10-25T00:00:00.000Z,2021-10-26T00:00:00.000Z,3725
2021-10-26T00:00:00.000Z,2021-10-27T00:00:00.000Z,7358
2021-10-27T00:00:00.000Z,2021-10-28T00:00:00.000Z,6459
2021-10-28T00:00:00.000Z,2021-10-29T00:00:00.000Z,2610
2021-10-29T00:00:00.000Z,2021-10-30T00:00:00.000Z,1572
2021-10-30T00:00:00.000Z,2021-10-31T00:00:00.000Z,1135
2021-10-31T00:00:00.000Z,2021-11-01T00:00:00.000Z,2044
2021-11-01T00:00:00.000Z,2021-11-02T00:00:00.000Z,1460
2021-11-02T00:00:00.000Z,2021-11-03T00:00:00.000Z,908
2021-11-03T00:00:00.000Z,2021-11-04T00:00:00.000Z,1034
2021-11-04T00:00:00.000Z,2021-11-05T00:00:00.000Z,1300
2021-11-05T00:00:00.000Z,2021-11-06T00:00:00.000Z,1152
2021-11-06T00:00:00.000Z,2021-11-07T00:00:00.000Z,1197
2021-11-07T00:00:00.000Z,2021-11-08T00:00:00.000Z,972
2021-09-07T00:00:00.000Z,2021-09-08T00:00:00.000Z,8252
2021-09-08T00:00:00.000Z,2021-09-09T00:00:00.000Z,6287
2021-09-09T00:00:00.000Z,2021-09-10T00:00:00.000Z,8307
2021-09-10T00:00:00.000Z,2021-09-11T00:00:00.000Z,4081
2021-09-11T00:00:00.000Z,2021-09-12T00:00:00.000Z,2389
2021-09-12T00:00:00.000Z,2021-09-13T00:00:00.000Z,2241
2021-09-13T00:00:00.000Z,2021-09-14T00:00:00.000Z,2523
2021-09-14T00:00:00.000Z,2021-09-15T00:00:00.000Z,2040
2021-09-15T00:00:00.000Z,2021-09-16T00:00:00.000Z,1891
2021-09-16T00:00:00.000Z,2021-09-17T00:00:00.000Z,2649
2021-09-17T00:00:00.000Z,2021-09-18T00:00:00.000Z,1781
2021-09-18T00:00:00.000Z,2021-09-19T00:00:00.000Z,1935
2021-09-19T00:00:00.000Z,2021-09-20T00:00:00.000Z,1948
2021-09-20T00:00:00.000Z,2021-09-21T00:00:00.000Z,2663
2021-09-21T00:00:00.000Z,2021-09-22T00:00:00.000Z,6489
2021-09-22T00:00:00.000Z,2021-09-23T00:00:00.000Z,4772
2021-09-23T00:00:00.000Z,2021-09-24T00:00:00.000Z,3952
2021-09-24T00:00:00.000Z,2021-09-25T00:00:00.000Z,2763
2021-09-25T00:00:00.000Z,2021-09-26T00:00:00.000Z,3498
2021-09-26T00:00:00.000Z,2021-09-27T00:00:00.000Z,7941
2021-09-27T00:00:00.000Z,2021-09-28T00:00:00.000Z,6924
2021-09-28T00:00:00.000Z,2021-09-29T00:00:00.000Z,4678
2021-09-29T00:00:00.000Z,2021-09-30T00:00:00.000Z,2218
2021-09-30T00:00:00.000Z,2021-10-01T00:00:00.000Z,3479
2021-10-01T00:00:00.000Z,2021-10-02T00:00:00.000Z,3834
2021-10-02T00:00:00.000Z,2021-10-03T00:00:00.000Z,2434
2021-10-03T00:00:00.000Z,2021-10-04T00:00:00.000Z,3519
2021-10-04T00:00:00.000Z,2021-10-05T00:00:00.000Z,3335
2021-10-05T00:00:00.000Z,2021-10-06T00:00:00.000Z,1870
2021-10-06T00:00:00.000Z,2021-10-07T00:00:00.000Z,1982
2021-10-07T00:00:00.000Z,2021-10-08T00:00:00.000Z,3314
2021-08-07T00:00:00.000Z,2021-08-08T00:00:00.000Z,1402
2021-08-08T00:00:00.000Z,2021-08-09T00:00:00.000Z,1506
2021-08-09T00:00:00.000Z,2021-08-10T00:00:00.000Z,3474
2021-08-10T00:00:00.000Z,2021-08-11T00:00:00.000Z,4189
2021-08-11T00:00:00.000Z,2021-08-12T00:00:00.000Z,4604
2021-08-12T00:00:00.000Z,2021-08-13T00:00:00.000Z,1749
2021-08-13T00:00:00.000Z,2021-08-14T00:00:00.000Z,2703
2021-08-14T00:00:00.000Z,2021-08-15T00:00:00.000Z,4544
2021-08-15T00:00:00.000Z,2021-08-16T00:00:00.000Z,13272
2021-08-16T00:00:00.000Z,2021-08-17T00:00:00.000Z,28458
2021-08-17T00:00:00.000Z,2021-08-18T00:00:00.000Z,34617
2021-08-18T00:00:00.000Z,2021-08-19T00:00:00.000Z,22336
2021-08-19T00:00:00.000Z,2021-08-20T00:00:00.000Z,19270
2021-08-20T00:00:00.000Z,2021-08-21T00:00:00.000Z,18180
2021-08-21T00:00:00.000Z,2021-08-22T00:00:00.000Z,25158
2021-08-22T00:00:00.000Z,2021-08-23T00:00:00.000Z,23173
2021-08-23T00:00:00.000Z,2021-08-24T00:00:00.000Z,16813
2021-08-24T00:00:00.000Z,2021-08-25T00:00:00.000Z,19805
2021-08-25T00:00:00.000Z,2021-08-26T00:00:00.000Z,20970
2021-08-26T00:00:00.000Z,2021-08-27T00:00:00.000Z,18709
2021-08-27T00:00:00.000Z,2021-08-28T00:00:00.000Z,17355
2021-08-28T00:00:00.000Z,2021-08-29T00:00:00.000Z,35305
2021-08-29T00:00:00.000Z,2021-08-30T00:00:00.000Z,15977
2021-08-30T00:00:00.000Z,2021-08-31T00:00:00.000Z,17737
2021-08-31T00:00:00.000Z,2021-09-01T00:00:00.000Z,15953
2021-09-01T00:00:00.000Z,2021-09-02T00:00:00.000Z,11758
2021-09-02T00:00:00.000Z,2021-09-03T00:00:00.000Z,5990
2021-09-03T00:00:00.000Z,2021-09-04T00:00:00.000Z,5367
2021-09-04T00:00:00.000Z,2021-09-05T00:00:00.000Z,4883
2021-09-05T00:00:00.000Z,2021-09-06T00:00:00.000Z,5544
2021-09-06T00:00:00.000Z,2021-09-07T00:00:00.000Z,3424
2021-07-07T00:00:00.000Z,2021-07-08T00:00:00.000Z,1965
2021-07-08T00:00:00.000Z,2021-07-09T00:00:00.000Z,1877
2021-07-09T00:00:00.000Z,2021-07-10T00:00:00.000Z,2125
2021-07-10T00:00:00.000Z,2021-07-11T00:00:00.000Z,1861
2021-07-11T00:00:00.000Z,2021-07-12T00:00:00.000Z,1525
2021-07-12T00:00:00.000Z,2021-07-13T00:00:00.000Z,3687
2021-07-13T00:00:00.000Z,2021-07-14T00:00:00.000Z,2015
2021-07-14T00:00:00.000Z,2021-07-15T00:00:00.000Z,2350
2021-07-15T00:00:00.000Z,2021-07-16T00:00:00.000Z,2187
2021-07-16T00:00:00.000Z,2021-07-17T00:00:00.000Z,1736
2021-07-17T00:00:00.000Z,2021-07-18T00:00:00.000Z,1112
2021-07-18T00:00:00.000Z,2021-07-19T00:00:00.000Z,981
2021-07-19T00:00:00.000Z,2021-07-20T00:00:00.000Z,1374
2021-07-20T00:00:00.000Z,2021-07-21T00:00:00.000Z,1750
2021-07-21T00:00:00.000Z,2021-07-22T00:00:00.000Z,2432
2021-07-22T00:00:00.000Z,2021-07-23T00:00:00.000Z,3411
2021-07-23T00:00:00.000Z,2021-07-24T00:00:00.000Z,9546
2021-07-24T00:00:00.000Z,2021-07-25T00:00:00.000Z,6116
2021-07-25T00:00:00.000Z,2021-07-26T00:00:00.000Z,13062
2021-07-26T00:00:00.000Z,2021-07-27T00:00:00.000Z,13803
2021-07-27T00:00:00.000Z,2021-07-28T00:00:00.000Z,13215
2021-07-28T00:00:00.000Z,2021-07-29T00:00:00.000Z,7305
2021-07-29T00:00:00.000Z,2021-07-30T00:00:00.000Z,3687
2021-07-30T00:00:00.000Z,2021-07-31T00:00:00.000Z,3461
2021-07-31T00:00:00.000Z,2021-08-01T00:00:00.000Z,4330
2021-08-01T00:00:00.000Z,2021-08-02T00:00:00.000Z,8601
2021-08-02T00:00:00.000Z,2021-08-03T00:00:00.000Z,3527
2021-08-03T00:00:00.000Z,2021-08-04T00:00:00.000Z,2164
2021-08-04T00:00:00.000Z,2021-08-05T00:00:00.000Z,2275
2021-08-05T00:00:00.000Z,2021-08-06T00:00:00.000Z,3351
2021-08-06T00:00:00.000Z,2021-08-07T00:00:00.000Z,1833
2021-06-06T00:00:00.000Z,2021-06-07T00:00:00.000Z,2056
2021-06-07T00:00:00.000Z,2021-06-08T00:00:00.000Z,2201
2021-06-08T00:00:00.000Z,2021-06-09T00:00:00.000Z,3732
2021-06-09T00:00:00.000Z,2021-06-10T00:00:00.000Z,2637
2021-06-10T00:00:00.000Z,2021-06-11T00:00:00.000Z,1926
2021-06-11T00:00:00.000Z,2021-06-12T00:00:00.000Z,1960
2021-06-12T00:00:00.000Z,2021-06-13T00:00:00.000Z,2408
2021-06-13T00:00:00.000Z,2021-06-14T00:00:00.000Z,1701
2021-06-14T00:00:00.000Z,2021-06-15T00:00:00.000Z,1715
2021-06-15T00:00:00.000Z,2021-06-16T00:00:00.000Z,1898
2021-06-16T00:00:00.000Z,2021-06-17T00:00:00.000Z,2436
2021-06-17T00:00:00.000Z,2021-06-18T00:00:00.000Z,6004
2021-06-18T00:00:00.000Z,2021-06-19T00:00:00.000Z,6681
2021-06-19T00:00:00.000Z,2021-06-20T00:00:00.000Z,5527
2021-06-20T00:00:00.000Z,2021-06-21T00:00:00.000Z,19197
2021-06-21T00:00:00.000Z,2021-06-22T00:00:00.000Z,8651
2021-06-22T00:00:00.000Z,2021-06-23T00:00:00.000Z,4074
2021-06-23T00:00:00.000Z,2021-06-24T00:00:00.000Z,4112
2021-06-24T00:00:00.000Z,2021-06-25T00:00:00.000Z,2294
2021-06-25T00:00:00.000Z,2021-06-26T00:00:00.000Z,2640
2021-06-26T00:00:00.000Z,2021-06-27T00:00:00.000Z,2754
2021-06-27T00:00:00.000Z,2021-06-28T00:00:00.000Z,2008
2021-06-28T00:00:00.000Z,2021-06-29T00:00:00.000Z,2597
2021-06-29T00:00:00.000Z,2021-06-30T00:00:00.000Z,1816
2021-06-30T00:00:00.000Z,2021-07-01T00:00:00.000Z,2129
2021-07-01T00:00:00.000Z,2021-07-02T00:00:00.000Z,2272
2021-07-02T00:00:00.000Z,2021-07-03T00:00:00.000Z,2232
2021-07-03T00:00:00.000Z,2021-07-04T00:00:00.000Z,1791
2021-07-04T00:00:00.000Z,2021-07-05T00:00:00.000Z,1167
2021-07-05T00:00:00.000Z,2021-07-06T00:00:00.000Z,1186
2021-07-06T00:00:00.000Z,2021-07-07T00:00:00.000Z,984
2021-05-06T00:00:00.000Z,2021-05-07T00:00:00.000Z,2073
2021-05-07T00:00:00.000Z,2021-05-08T00:00:00.000Z,2335
2021-05-08T00:00:00.000Z,2021-05-09T00:00:00.000Z,3617
2021-05-09T00:00:00.000Z,2021-05-10T00:00:00.000Z,1783
2021-05-10T00:00:00.000Z,2021-05-11T00:00:00.000Z,2949
2021-05-11T00:00:00.000Z,2021-05-12T00:00:00.000Z,2979
